@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute Defective {Y,N}

@data
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.35,8.0,0.02,17.0,0.13,58.81,1.0,0.0,6.0,8.0,N
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.81,9.0,0.02,19.0,0.11,70.31,1.0,0.0,8.0,9.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,0.0,28.6,47.67,0.45,238.0,0.02,1363.25,1.0,8.0,99.0,26.0,Y
18.0,18.0,15.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,0.0,28.6,47.67,0.45,238.0,0.02,1363.25,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,0.0,28.6,47.67,0.45,238.0,0.02,1363.25,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,0.0,28.6,47.67,0.45,238.0,0.02,1363.25,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,0.0,28.6,47.67,0.45,238.0,0.02,1363.25,1.0,8.0,99.0,26.0,Y
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,Y
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,0.0,28.6,47.67,0.45,238.0,0.02,1363.25,1.0,8.0,99.0,26.0,N
18.0,18.0,15.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,N
18.0,18.0,15.0,27.0,16.0,1.0,1.0,1.0,0.0,0.0,28.6,47.67,0.45,238.0,0.02,1363.25,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,0.0,28.6,47.67,0.45,238.0,0.02,1363.25,1.0,8.0,99.0,26.0,N
18.0,18.0,14.0,27.0,16.0,1.0,1.0,1.0,0.0,1.0,31.0,44.38,0.46,238.0,0.02,1375.96,1.0,8.0,99.0,26.0,Y
