@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
0.37,13.0,20.98,19.0,0.83,10.0,7.0,90.0,485.0,24.0,N
0.14,5.0,25.02,22.0,0.0,4.0,3.0,108.0,450.35,10.0,N
0.33,11.0,19.44,18.0,1.0,0.0,6.0,81.0,460.21,17.0,N
0.33,1.0,9.05,3.0,0.0,0.0,1.0,7.0,2.0,3.0,N
0.5,1.0,16.74,2.0,0.0,0.0,1.0,30.0,45.58,4.0,N
1.0,5.0,12.61,3.0,1.0,0.0,3.0,23.0,31.92,9.0,N
0.13,7.0,51.31,31.0,0.0,6.0,4.0,178.0,872.96,18.0,Y
0.5,9.0,17.05,10.0,0.0,0.0,5.0,65.0,230.01,18.0,N
0.21,15.0,35.89,39.0,0.0,0.0,8.0,170.0,1300.61,36.0,N
0.17,16.0,34.84,53.0,0.0,8.0,11.0,197.0,2371.05,24.0,Y
0.32,15.0,19.8,20.0,0.71,8.0,8.0,115.0,893.46,18.0,N
0.17,1.0,16.85,6.0,0.0,0.0,1.0,34.0,68.78,2.0,N
0.14,5.0,24.34,17.0,0.0,4.0,3.0,69.0,228.48,10.0,N
0.2,1.0,15.86,5.0,0.0,0.0,1.0,15.0,10.79,3.0,N
0.3,14.0,42.11,43.0,0.0,0.0,13.0,128.0,709.17,17.0,N
0.22,3.0,29.95,9.0,0.0,2.0,2.0,23.0,14.98,8.0,N
0.29,11.0,15.38,21.0,0.0,10.0,6.0,77.0,461.87,19.0,N
0.44,27.0,24.53,29.0,0.38,14.0,14.0,160.0,1500.8,28.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,N
0.17,1.0,11.29,6.0,0.0,0.0,1.0,26.0,50.79,2.0,N
0.07,1.0,6.55,15.0,0.0,0.0,1.0,71.0,285.49,2.0,N
0.1,1.0,49.83,9.0,0.0,0.0,1.0,44.0,42.92,6.0,N
0.1,1.0,22.45,10.0,0.0,0.0,1.0,26.0,22.91,4.0,N
0.38,37.0,37.9,46.0,0.56,0.0,19.0,277.0,3654.67,71.0,N
0.04,5.0,44.68,64.0,0.0,4.0,3.0,340.0,3461.08,9.0,Y
0.13,1.0,12.0,8.0,0.0,0.0,1.0,20.0,29.63,3.0,N
0.26,6.0,25.77,19.0,0.0,0.0,5.0,54.0,148.34,9.0,N
0.27,5.0,17.11,11.0,0.0,0.0,3.0,47.0,129.4,11.0,N
0.05,1.0,39.41,15.0,0.0,0.0,1.0,155.0,632.68,2.0,N
0.05,5.0,46.28,58.0,0.0,4.0,3.0,702.0,17843.6,15.0,N
0.22,3.0,15.61,9.0,0.0,2.0,2.0,35.0,72.86,6.0,N
0.21,11.0,29.42,25.0,0.0,10.0,6.0,121.0,715.48,23.0,N
0.5,9.0,7.1,10.0,0.75,0.0,5.0,35.0,146.24,15.0,N
0.17,7.0,26.4,19.0,0.67,4.0,4.0,109.0,657.76,10.0,N
0.06,3.0,61.82,31.0,0.0,2.0,2.0,165.0,692.92,9.0,N
0.21,15.0,27.2,31.0,1.0,6.0,8.0,292.0,4352.96,23.0,N
0.5,7.0,21.13,8.0,0.0,0.0,4.0,48.0,101.21,14.0,N
0.33,1.0,12.06,2.0,0.0,0.0,1.0,7.0,1.51,5.0,N
0.21,7.0,19.14,18.0,0.67,6.0,4.0,57.0,208.39,11.0,N
0.22,7.0,18.36,14.0,0.0,6.0,4.0,62.0,237.97,13.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,N
0.29,3.0,20.79,7.0,0.0,2.0,2.0,34.0,64.95,5.0,N
0.07,1.0,55.91,14.0,0.0,0.0,1.0,57.0,76.19,12.0,N
0.17,6.0,25.36,30.0,0.0,0.0,5.0,126.0,943.83,13.0,N
0.29,3.0,19.99,7.0,0.0,0.0,2.0,21.0,17.77,6.0,N
0.15,3.0,12.62,13.0,0.0,2.0,2.0,30.0,54.27,6.0,N
0.13,1.0,15.88,8.0,0.0,0.0,1.0,31.0,43.22,2.0,N
0.17,1.0,15.86,6.0,0.0,0.0,1.0,15.0,10.79,3.0,N
0.37,45.0,54.16,54.0,0.82,12.0,23.0,326.0,3507.4,41.0,N
0.11,9.0,36.38,36.0,0.5,6.0,5.0,211.0,1699.72,15.0,Y
0.12,9.0,46.59,41.0,0.0,8.0,5.0,173.0,1125.06,27.0,N
0.4,3.0,15.23,5.0,0.0,2.0,2.0,24.0,30.46,5.0,N
0.12,5.0,31.97,33.0,0.0,0.0,4.0,159.0,1209.91,14.0,N
0.12,3.0,52.81,17.0,0.0,2.0,2.0,94.0,244.57,8.0,N
0.17,1.0,15.36,6.0,0.0,0.0,1.0,30.0,41.82,2.0,N
0.5,1.0,5.33,2.0,0.0,0.0,1.0,4.0,0.67,2.0,N
0.2,3.0,15.16,9.0,0.0,2.0,2.0,51.0,189.53,6.0,Y
0.08,5.0,52.91,35.0,0.0,4.0,3.0,182.0,1024.16,20.0,N
0.33,1.0,9.51,3.0,0.0,0.0,1.0,12.0,8.45,3.0,N
0.27,20.0,50.06,42.0,0.0,0.0,12.0,219.0,2012.87,38.0,N
0.5,3.0,9.51,4.0,0.0,0.0,2.0,9.0,4.75,6.0,N
0.25,3.0,11.47,7.0,0.0,2.0,2.0,29.0,48.77,5.0,N
0.5,9.0,22.9,10.0,0.0,8.0,5.0,63.0,173.77,18.0,N
0.13,11.0,33.43,31.0,0.0,10.0,6.0,148.0,1084.81,21.0,Y
0.53,37.0,29.61,36.0,0.56,0.0,19.0,230.0,3162.01,51.0,N
0.27,5.0,16.48,11.0,1.0,0.0,3.0,32.0,62.3,8.0,N
0.5,1.0,14.99,2.0,0.0,0.0,1.0,13.0,7.5,3.0,N
0.33,1.0,8.72,3.0,0.0,0.0,1.0,11.0,7.75,3.0,N
0.14,5.0,30.43,20.0,0.0,4.0,3.0,96.0,388.86,12.0,Y
0.15,7.0,23.42,26.0,0.0,6.0,4.0,101.0,626.23,14.0,Y
1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,N
0.12,5.0,30.3,22.0,0.0,4.0,3.0,104.0,458.3,16.0,Y
0.25,5.0,16.21,6.0,0.0,4.0,3.0,42.0,109.03,8.0,N
0.5,5.0,18.13,6.0,0.0,0.0,3.0,34.0,56.67,10.0,N
0.21,5.0,22.54,19.0,0.0,0.0,4.0,51.0,119.73,8.0,N
0.5,1.0,10.75,2.0,0.0,0.0,1.0,12.0,9.56,2.0,N
0.5,5.0,8.38,6.0,1.0,0.0,3.0,22.0,46.53,9.0,N
0.13,1.0,48.13,8.0,0.0,0.0,1.0,68.0,106.13,9.0,N
0.07,1.0,38.55,14.0,0.0,0.0,1.0,50.0,62.65,7.0,N
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,N
0.08,1.0,32.22,12.0,0.0,0.0,1.0,92.0,390.1,7.0,N
0.12,15.0,34.93,56.0,0.0,14.0,8.0,290.0,3839.34,33.0,Y
