@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
0.13,5.0,34.03,22.0,1.0,4.0,3.0,107.0,507.27,11.0,N
0.29,3.0,27.56,7.0,0.0,2.0,2.0,40.0,62.22,7.0,N
0.3,5.0,13.14,10.0,0.0,4.0,3.0,29.0,48.69,10.0,N
0.3,13.0,33.12,23.0,1.0,6.0,7.0,104.0,461.72,13.0,N
0.15,3.0,21.63,13.0,0.0,2.0,2.0,81.0,389.4,7.0,N
0.28,19.0,58.73,36.0,0.0,14.0,10.0,151.0,693.95,45.0,N
0.38,15.0,15.74,20.0,0.43,12.0,8.0,83.0,596.81,26.0,N
0.29,3.0,15.23,7.0,0.0,2.0,2.0,20.0,21.15,8.0,N
0.67,11.0,10.31,9.0,0.8,8.0,6.0,45.0,189.73,17.0,N
0.15,5.0,39.02,19.0,0.0,4.0,3.0,108.0,494.99,11.0,N
0.23,5.0,19.41,13.0,1.0,4.0,3.0,53.0,177.62,11.0,N
0.24,61.0,88.43,126.0,0.73,38.0,31.0,560.0,8954.35,79.0,N
0.11,13.0,50.26,36.0,0.0,12.0,5.0,128.0,599.82,27.0,N
0.3,5.0,13.35,10.0,1.0,4.0,3.0,50.0,240.37,10.0,N
0.31,17.0,47.16,29.0,1.0,8.0,9.0,136.0,617.07,17.0,N
0.19,13.0,55.33,35.0,0.67,10.0,7.0,154.0,781.29,32.0,N
0.18,5.0,29.64,17.0,0.0,4.0,3.0,73.0,262.76,9.0,N
0.36,7.0,16.45,11.0,1.0,6.0,4.0,52.0,186.87,15.0,N
0.2,5.0,15.83,14.0,0.0,4.0,3.0,41.0,106.43,13.0,N
0.32,51.0,83.45,82.0,0.84,46.0,26.0,448.0,5574.94,86.0,N
0.12,3.0,19.85,17.0,0.0,2.0,2.0,76.0,311.9,6.0,N
0.11,3.0,38.3,16.0,0.0,2.0,2.0,118.0,587.35,8.0,N
0.19,5.0,32.14,16.0,0.0,4.0,3.0,60.0,155.56,8.0,Y
0.18,3.0,22.92,11.0,0.0,2.0,2.0,35.0,62.41,6.0,N
0.2,7.0,32.68,20.0,0.0,6.0,4.0,86.0,351.24,12.0,N
0.38,5.0,9.65,8.0,1.0,4.0,3.0,32.0,106.36,10.0,N
0.17,7.0,46.5,23.0,0.0,6.0,4.0,101.0,358.84,10.0,Y
0.26,19.0,26.19,38.0,0.0,12.0,11.0,136.0,1223.73,25.0,N
0.22,11.0,16.21,22.0,0.6,10.0,6.0,146.0,1983.14,20.0,N
0.28,9.0,15.61,18.0,0.0,8.0,5.0,77.0,466.13,19.0,N
0.67,7.0,19.97,6.0,1.0,2.0,4.0,35.0,65.76,8.0,N
0.17,3.0,30.96,12.0,0.0,2.0,2.0,41.0,63.41,7.0,Y
0.23,24.0,41.45,80.0,0.0,6.0,19.0,304.0,4745.34,41.0,N
0.17,9.0,51.99,27.0,0.5,6.0,5.0,136.0,609.85,14.0,N
0.21,5.0,33.52,14.0,0.0,4.0,3.0,47.0,76.96,8.0,Y
0.4,3.0,13.87,4.0,0.0,2.0,2.0,17.0,16.78,5.0,N
0.33,11.0,22.75,18.0,1.0,8.0,6.0,88.0,505.5,17.0,N
0.24,39.0,53.86,80.0,0.74,30.0,20.0,325.0,4591.56,56.0,N
0.14,21.0,44.17,62.0,0.4,18.0,11.0,153.0,937.95,39.0,N
0.27,57.0,92.23,106.0,0.68,30.0,29.0,539.0,8140.23,62.0,Y
0.23,13.0,23.19,26.0,0.67,12.0,7.0,125.0,1074.3,24.0,N
0.18,3.0,26.32,11.0,0.0,2.0,2.0,40.0,69.11,9.0,N
0.29,3.0,15.09,6.0,0.0,2.0,2.0,22.0,28.52,7.0,N
0.43,5.0,10.91,7.0,1.0,4.0,3.0,24.0,46.93,9.0,N
0.25,13.0,22.75,26.0,0.33,10.0,7.0,177.0,2196.03,23.0,N
0.42,52.0,50.98,66.0,0.78,36.0,28.0,366.0,6059.65,84.0,N
0.5,7.0,8.8,8.0,0.67,4.0,4.0,31.0,101.37,10.0,N
0.33,7.0,21.91,12.0,0.0,6.0,4.0,48.0,122.82,12.0,N
0.45,9.0,7.24,11.0,0.75,8.0,5.0,38.0,177.33,15.0,N
0.33,3.0,10.58,6.0,0.0,2.0,2.0,20.0,30.46,5.0,N
0.45,9.0,8.77,11.0,1.0,8.0,5.0,41.0,170.38,15.0,N
0.24,39.0,52.36,80.0,0.74,30.0,20.0,325.0,4746.67,56.0,N
0.45,9.0,16.12,11.0,0.0,8.0,5.0,51.0,183.28,15.0,N
0.26,11.0,25.45,21.0,0.0,10.0,6.0,141.0,1278.07,18.0,N
0.25,7.0,35.44,16.0,0.67,4.0,4.0,69.0,193.16,17.0,N
0.14,3.0,37.7,14.0,0.0,2.0,2.0,61.0,126.71,8.0,N
0.38,5.0,13.45,8.0,0.0,4.0,3.0,37.0,115.71,9.0,N
0.1,11.0,66.95,59.0,0.0,12.0,6.0,268.0,2408.85,41.0,N
0.33,5.0,22.64,8.0,0.0,4.0,3.0,30.0,41.25,11.0,N
0.4,3.0,17.11,5.0,0.0,2.0,2.0,22.0,25.14,6.0,N
0.45,9.0,8.42,11.0,1.0,8.0,5.0,42.0,194.56,15.0,N
0.38,5.0,17.84,8.0,0.0,4.0,3.0,48.0,142.7,14.0,N
0.37,67.0,179.17,90.0,0.48,64.0,34.0,548.0,4547.89,121.0,N
0.29,11.0,41.15,21.0,0.8,8.0,6.0,109.0,448.08,18.0,N
0.1,3.0,32.95,20.0,0.0,2.0,2.0,51.0,101.36,7.0,N
0.67,3.0,11.23,3.0,0.0,2.0,2.0,37.0,122.25,6.0,N
0.56,17.0,9.47,16.0,1.0,14.0,9.0,69.0,521.87,24.0,N
0.45,17.0,31.49,20.0,1.0,8.0,9.0,115.0,669.69,19.0,N
0.22,17.0,69.56,41.0,0.25,16.0,9.0,290.0,2684.56,33.0,N
0.33,3.0,6.5,6.0,0.0,2.0,2.0,13.0,13.0,6.0,N
0.2,7.0,37.83,20.0,0.0,6.0,4.0,78.0,227.33,15.0,N
0.25,3.0,11.6,8.0,0.0,2.0,2.0,29.0,64.44,7.0,N
0.08,5.0,43.87,35.0,0.0,4.0,3.0,187.0,1519.8,15.0,Y
0.06,5.0,113.81,51.0,1.0,2.0,3.0,296.0,1775.43,13.0,N
